sensor,date,tile,orbit,platform,cloud,lat,lon,nodata
landsat,2010-12-21,172/028,172,landsat-5,84.0,45.996735,42.925058484999994,84.0
landsat,2010-12-20,173/028,173,landsat-7,4.0,46.020745,41.460613365,4.0
landsat,2010-12-20,173/027,173,landsat-7,4.0,47.441705,41.990933605,4.0
landsat,2010-12-20,173/026,173,landsat-7,42.0,48.85689,42.502254135,42.0
landsat,2010-12-19,174/028,174,landsat-5,20.0,46.0116,39.88270841,20.0
landsat,2010-12-19,174/027,174,landsat-5,66.0,47.424705,40.43545866,67.0
landsat,2010-12-19,174/026,174,landsat-5,11.0,48.836079999999995,40.997643945,11.0
landsat,2010-12-14,171/028,171,landsat-5,25.0,46.010715,44.496453445,25.0
landsat,2010-12-14,171/027,171,landsat-5,91.0,47.420345,45.037818720000004,91.0
landsat,2010-12-14,171/026,171,landsat-5,54.0,48.839565,45.61631901,54.0
landsat,2010-11-26,173/028,173,landsat-5,96.0,46.013425,41.430923355000004,96.0
landsat,2010-11-26,173/027,173,landsat-5,56.0,47.434155,41.976338604999995,56.0
landsat,2010-11-26,173/026,173,landsat-5,48.0,48.844395,42.476829105,48.0
landsat,2010-11-26,173/025,173,landsat-5,27.0,50.26074,43.06599945,27.0
landsat,2010-11-19,172/028,172,landsat-5,93.0,46.005795,42.90713349,93.0
landsat,2010-11-19,172/027,172,landsat-5,100.0,47.42554,43.45089377,100.0
landsat,2010-11-19,172/026,172,landsat-5,100.0,48.845150000000004,44.025424075000004,100.0
landsat,2010-11-19,172/025,172,landsat-5,19.0,50.248099999999994,44.616934395,19.0
landsat,2010-11-17,174/028,174,landsat-5,61.0,46.021074999999996,39.871003404999996,61.0
landsat,2010-11-17,174/027,174,landsat-5,55.0,47.435625,40.41760367,54.0
landsat,2010-11-17,174/026,174,landsat-5,92.0,48.845600000000005,40.987968955,92.0
landsat,2010-11-17,174/025,174,landsat-5,73.0,50.262775000000005,41.584684265,73.0
landsat,2010-11-16,175/025,175,landsat-7,0.0,50.270215,40.041309345,0.0
landsat,2010-11-15,176/028,176,landsat-5,5.0,46.020215,36.737903495,4.0
landsat,2010-11-15,176/027,176,landsat-5,41.0,47.43391,37.273298765,37.0
landsat,2010-11-15,176/026,176,landsat-5,7.0,48.8436,37.844034074999996,7.0
landsat,2010-11-15,176/025,176,landsat-5,15.0,50.251490000000004,38.440744405000004,15.0
landsat,2010-11-12,171/028,171,landsat-5,75.0,46.01468,44.482593449999996,75.0
landsat,2010-11-12,171/027,171,landsat-5,77.0,47.42703,45.029723715,77.0
landsat,2010-11-12,171/026,171,landsat-5,47.0,48.844925,45.605964009999994,47.0
landsat,2010-11-12,171/025,171,landsat-5,55.0,50.252759999999995,46.21052433,55.0
landsat,2010-11-11,172/028,172,landsat-7,36.0,46.022365,42.937303494999995,36.0
landsat,2010-11-11,172/027,172,landsat-7,18.0,47.439364999999995,43.48892378,18.0
landsat,2010-11-11,172/026,172,landsat-7,51.0,48.853345,44.06275409,51.0
landsat,2010-11-11,172/025,172,landsat-7,47.0,50.269575,44.6511444,47.0
landsat,2010-11-10,173/028,173,landsat-5,50.0,46.009474999999995,41.42491835,50.0
landsat,2010-11-10,173/027,173,landsat-5,72.0,47.43303,41.96640361,72.0
landsat,2010-11-10,173/026,173,landsat-5,67.0,48.844085,42.464399115,67.0
landsat,2010-11-10,173/025,173,landsat-5,47.0,50.261889999999994,43.053274455,47.0
landsat,2010-11-09,174/028,174,landsat-7,1.0,46.02067,39.90657842,1.0
landsat,2010-11-08,175/028,175,landsat-5,5.0,46.015100000000004,38.291258455000005,2.0
landsat,2010-11-08,175/027,175,landsat-5,64.0,47.42828,38.83924373,63.0
landsat,2010-11-08,175/026,175,landsat-5,67.0,48.847,39.414199015,67.0
landsat,2010-11-08,175/025,175,landsat-5,31.0,50.25443,40.01518934,31.0
landsat,2010-11-07,176/028,176,landsat-7,15.0,46.0205,36.760948495,30.0
landsat,2010-11-06,177/025,177,landsat-5,85.0,50.269515,36.865454465,85.0
landsat,2010-11-03,172/029,172,landsat-5,1.0,44.639129999999994,42.39836324,1.0
landsat,2010-11-03,172/028,172,landsat-5,1.0,46.044979999999995,42.911438495,1.0
landsat,2010-11-03,172/027,172,landsat-5,18.0,47.463355,43.455918765,18.0
landsat,2010-11-01,174/028,174,landsat-5,26.0,46.018645,39.831568415,26.0
landsat,2010-11-01,174/027,174,landsat-5,33.0,47.43339,40.379048665,34.0
landsat,2010-11-01,174/026,174,landsat-5,26.0,48.85435,40.949433955,26.0
landsat,2010-11-01,174/025,174,landsat-5,6.0,50.26374,41.540499265,6.0
landsat,2010-10-31,175/025,175,landsat-7,68.0,50.270160000000004,40.052049345,68.0
landsat,2010-10-30,176/028,176,landsat-5,27.0,46.0821,36.727553505,28.0
landsat,2010-10-30,176/027,176,landsat-5,15.0,47.49718,37.261188785,16.0
landsat,2010-10-30,176/026,176,landsat-5,59.0,48.909565,37.829894089999996,59.0
landsat,2010-10-30,176/025,176,landsat-5,81.0,50.324295,38.422614435,81.0
landsat,2010-10-26,172/028,172,landsat-7,18.0,46.019864999999996,42.9489385,18.0
landsat,2010-10-26,172/027,172,landsat-7,6.0,47.440560000000005,43.47887377,6.0
landsat,2010-10-26,172/026,172,landsat-7,13.0,48.854600000000005,44.050299075,13.0
landsat,2010-10-25,173/028,173,landsat-5,5.0,46.021585,41.361478355,5.0
landsat,2010-10-25,173/027,173,landsat-5,0.0,47.43873000000001,41.901003605,0.0
landsat,2010-10-25,173/026,173,landsat-5,0.0,48.859,42.40234912,0.0
landsat,2010-10-25,173/025,173,landsat-5,0.0,50.270235,42.985504465,0.0
landsat,2010-10-24,174/028,174,landsat-7,8.0,46.01939,39.892688405,8.0
landsat,2010-10-24,174/027,174,landsat-7,11.0,47.437740000000005,40.454278689999995,11.0
landsat,2010-10-24,174/026,174,landsat-7,29.0,48.85722,41.01117396,29.0
landsat,2010-10-24,174/025,174,landsat-7,4.0,50.268955,41.60422427,4.0
landsat,2010-10-23,175/028,175,landsat-5,21.0,46.031040000000004,38.24172346,23.0
landsat,2010-10-23,175/027,175,landsat-5,0.0,47.445814999999996,38.786473735,0.0
landsat,2010-10-23,175/026,175,landsat-5,0.0,48.859314999999995,39.358004025,0.0
landsat,2010-10-23,175/025,175,landsat-5,12.0,50.280535,39.959919355,12.0
landsat,2010-10-22,176/028,176,landsat-7,10.0,46.020425,36.757083495,8.0
landsat,2010-10-22,176/027,176,landsat-7,22.0,47.438295,37.306653785,25.0
