iter	Passed	Remaining
0	49330	986555076
1	49345	493408162
2	49361	329027966
3	49377	246837377
4	49391	197516033
5	49405	164635139
6	49422	141156714
7	49435	123539240
8	49449	109838187
9	49468	98888132
10	49485	89923600
11	49498	82447433
12	49514	76126784
13	49530	70708656
14	49547	66013558
15	49564	61905565
16	49580	58280980
17	49597	55058606
18	49613	52175099
19	49629	49579906
20	49646	47232663
21	49663	45098631
22	49680	43151012
23	49697	41364830
24	49712	39719963
25	49739	38211519
26	49768	36815471
27	51722	36892898
28	51738	35630247
29	51756	34452713
30	51773	33350591
31	51787	32315264
32	51804	31344972
33	51821	30431270
34	51837	29569843
35	51852	28754893
36	51865	27983666
37	51881	27254404
38	51898	26562569
39	51916	25906335
40	51936	25282751
41	51955	24688852
42	51968	24119364
43	51980	23575520
44	51994	23056527
45	52008	22560184
46	52027	22087243
47	52043	21632772
48	52062	21197961
49	52079	20779680
50	52096	20377994
51	52113	19991586
52	52131	19620250
53	52147	19261658
54	52163	18916409
55	52178	18582860
56	52193	18261429
57	52209	17951147
58	52225	17651483
59	52243	17362202
60	52256	17081019
61	52274	16810320
62	52291	16548052
63	52308	16294194
64	52324	16047631
65	52342	15808888
66	52359	15577200
67	52375	15352186
68	52389	15132971
69	52405	14920736
70	52422	14714432
71	52438	14513921
72	52456	14319056
73	52472	14129216
74	52488	13944458
75	52505	13764835
76	52521	13589337
77	52533	13417485
78	52556	13253005
79	52570	13090125
80	52587	12932044
81	52604	12777866
82	52622	12627553
83	52639	12480581
84	52656	12337098
85	52673	12196997
86	52690	12059977
87	52711	11927084
88	54656	12227755
89	54671	12094535
90	54686	11964356
91	54705	11837692
92	54720	11713074
93	54734	11590953
94	54752	11472116
95	54768	11355350
96	54785	11241228
97	54806	11130133
98	54822	11020370
99	54838	10912843
100	54856	10807752
101	54871	10704185
102	54884	10602320
103	54897	10502395
104	54915	10405150
105	54933	10309823
106	54951	10216361
107	54967	10124166
108	54981	10033321
109	54998	9944677
110	55010	9856767
111	55024	9770841
112	55041	9686768
113	55057	9604152
114	55072	9522760
115	55088	9442857
116	55105	9364558
117	55118	9286965
118	55134	9211123
119	55148	9136256
120	55165	9063028
121	55178	8990404
122	55190	8918886
123	55209	8849571
124	55222	8780413
125	55239	8712920
126	55256	8646594
127	55270	8580696
128	55287	8516367
129	55303	8452962
130	55319	8390368
131	55339	8329437
132	55354	8268667
133	55370	8208904
134	55387	8150175
135	55405	8092479
136	55421	8035241
137	55436	7978802
138	55450	7922975
139	55465	7868131
140	55479	7814005
141	55495	7760726
142	55509	7708100
143	55528	7656723
144	55545	7605835
145	55562	7555785
146	55581	7506566
147	55598	7457704
148	55616	7409670
149	55631	7361839
150	57792	7596870
151	57809	7548698
152	57825	7500999
153	57843	7454236
154	57857	7407628
155	57873	7361814
156	57888	7316468
157	57905	7271864
158	57922	7227880
159	57937	7184201
160	57953	7141197
161	57972	7099128
162	57989	7057248
163	58006	7015956
164	58020	6974719
165	58035	6934175
166	58051	6894174
167	58067	6854769
168	58082	6815625
169	58100	6777264
170	58114	6738933
171	58130	6701271
172	58149	6664360
173	58168	6627920
174	58184	6591438
175	58200	6555520
176	58216	6519964
177	58233	6484857
178	58251	6450326
179	58268	6416055
180	58286	6382168
181	58305	6348856
182	58321	6315652
183	58337	6282704
184	58354	6250259
185	58371	6218180
186	58389	6186502
187	58407	6155149
188	58424	6124092
189	58442	6093402
190	58459	6062937
191	58476	6032827
192	58491	6002827
193	58508	5973287
194	58526	5944162
195	58542	5915162
196	58559	5886610
197	58577	5858342
198	58597	5830626
199	58615	5802965
200	58633	5775519
201	58650	5748340
202	58670	5721659
203	58689	5695206
204	58707	5668843
205	58725	5642789
206	58741	5616792
207	58763	5591537
208	60748	5752486
209	60765	5726441
210	60782	5700590
211	60806	5675618
212	60825	5650456
213	60841	5625310
214	60858	5600392
215	60874	5575622
216	60893	5551425
217	60913	5527464
218	60930	5503456
219	60946	5479653
220	60962	5456049
221	60979	5432709
222	60997	5409641
223	61013	5386619
224	61033	5364183
225	61052	5341865
226	61069	5319486
227	61085	5297268
228	61104	5275525
229	61119	5253585
230	61138	5232239
231	61156	5210987
232	61172	5189715
233	61188	5168616
234	61209	5148095
235	61226	5127442
236	61244	5107105
237	61261	5086801
238	61278	5066634
239	61295	5046661
240	61315	5027084
241	61332	5007459
242	61349	4987992
243	61368	4968869
244	61388	4949927
245	61405	4930903
246	61424	4912219
247	61438	4893292
248	61450	4874333
249	61467	4855966
250	61481	4837477
251	61497	4819277
252	61514	4801253
253	61530	4783409
254	61547	4765696
255	61566	4748334
256	61580	4730649
257	61597	4713379
258	61613	4696210
259	61632	4679292
260	61647	4662326
261	61664	4645581
262	61679	4628811
263	61700	4612586
264	61717	4596214
265	63674	4723881
266	63762	4712460
267	63774	4695529
268	63790	4678976
269	63802	4662327
270	63858	4648925
271	63873	4632686
272	63901	4617512
273	63912	4601215
274	63924	4585114
275	63935	4569084
276	63948	4553255
277	63960	4537481
278	63972	4521871
279	63985	4506400
280	63997	4490993
281	64009	4475680
282	64022	4460531
283	64035	4445497
284	64047	4430494
285	64058	4415552
286	64070	4400794
287	64082	4386119
288	64095	4371548
289	64108	4357201
290	64121	4342860
291	64134	4328625
292	64146	4314449
293	64159	4300412
294	64171	4286434
295	64182	4272488
296	64195	4258751
297	64208	4245087
298	64221	4231522
299	64234	4218037
300	64246	4204613
301	64260	4191401
302	64273	4178182
303	64284	4164987
304	64299	4152057
305	64314	4139235
306	64326	4126348
307	64339	4113518
308	64351	4100798
309	64364	4088153
310	64376	4075566
311	64389	4063133
312	64402	4050797
313	64415	4038482
314	64427	4026194
315	64439	4014014
316	64453	4001982
317	64464	3989880
318	64477	3978029
319	64490	3966168
320	64503	3954397
321	64515	3942682
322	64529	3931132
323	64542	3919548
324	64556	3908154
325	64571	3896852
326	64587	3885713
327	64601	3874499
328	64616	3863423
329	64634	3852620
330	64650	3841705
331	64665	3830833
332	64680	3820045
333	66680	3926181
334	66692	3914940
335	66704	3903815
336	66717	3892783
337	66728	3881731
338	66741	3870782
339	66753	3859918
340	66766	3849167
341	66778	3838411
342	66791	3827759
343	66802	3817080
344	66814	3806480
345	66826	3795971
346	66838	3785516
347	66852	3775224
348	66865	3764959
349	66878	3754744
350	66893	3744684
351	66906	3734580
352	66918	3724514
353	66931	3714530
354	66945	3704607
355	66960	3694888
356	66974	3685075
357	66987	3675316
358	67000	3665615
359	67012	3655883
360	67023	3646200
361	67036	3636644
362	67048	3627073
363	67060	3617581
364	67073	3608197
365	67085	3598788
366	67098	3589489
367	67110	3580214
368	67123	3570987
369	67136	3561856
370	67148	3552707
371	67162	3543699
372	67172	3534586
373	67184	3525558
374	67196	3516619
375	67208	3507709
376	67219	3498776
377	67231	3489973
378	67243	3481212
379	67254	3472459
380	67268	3463871
381	67279	3455196
382	67290	3446569
383	67301	3438000
384	67314	3429525
385	67325	3421062
386	67339	3412739
387	67351	3404379
388	67364	3396086
389	67375	3387767
390	67387	3379561
391	67398	3371324
392	67412	3363257
393	67424	3355158
394	67438	3347169
395	67449	3339110
396	67461	3331095
397	67473	3323143
398	67485	3315244
399	67498	3307435
400	67511	3299665
401	67523	3291841
402	67537	3284182
403	67550	3276523
404	67562	3268838
405	67573	3261188
406	67586	3253627
407	67599	3246101
408	67611	3238556
409	67624	3231129
410	67635	3223646
411	67647	3216198
412	67660	3208860
413	67670	3201457
414	67682	3194133
415	67696	3186920
416	67712	3179878
417	67724	3172686
418	67739	3165665
419	70203	3272836
420	70218	3265585
421	70232	3258324
422	70248	3251207
423	70261	3243938
424	70272	3236661
425	70286	3229542
426	70298	3222379
427	70311	3215271
428	70325	3208243
429	70339	3201255
430	70355	3194388
431	70369	3187482
432	70381	3180474
433	70395	3173634
434	70407	3166727
435	70418	3159788
436	70430	3152916
437	70442	3146106
438	70454	3139332
439	70467	3132586
440	70478	3125833
441	70490	3119114
442	70502	3112445
443	70514	3105799
444	70525	3099175
445	70537	3092561
446	70548	3085992
447	70560	3079445
448	70572	3072960
449	70584	3066505
450	70597	3060104
451	70609	3053723
452	70622	3047375
453	70635	3041079
454	70648	3034781
455	70660	3028466
456	70672	3022196
457	70683	3015938
458	70696	3009761
459	70708	3003552
460	70720	2997405
461	70732	2991299
462	70745	2985227
463	70758	2979156
464	70768	2973051
465	70781	2967036
466	70792	2960996
467	70804	2955040
468	70816	2949093
469	70828	2943170
470	70843	2937360
471	70857	2931592
472	70874	2925919
473	70888	2920175
474	70899	2914358
475	70913	2908665
476	70925	2902909
477	70939	2897231
478	70951	2891513
479	70965	2885919
480	70976	2880240
481	70989	2874634
482	71001	2869033
483	71014	2863463
484	71026	2857908
485	71038	2852372
486	71050	2846819
487	71062	2841319
488	71074	2835849
489	71089	2830528
490	71102	2825120
491	71115	2819775
492	71128	2814416
493	71141	2809089
494	71154	2803762
495	71167	2798496
496	71180	2793226
497	71192	2787963
498	71205	2782719
499	71221	2777627
500	71237	2772555
501	71251	2767467
502	71266	2762396
503	73404	2839477
504	73417	2834191
505	73430	2828955
506	73445	2823818
507	73457	2818586
508	73472	2813454
509	73486	2808349
510	73503	2803355
511	73520	2798378
512	73543	2793657
513	73564	2788883
514	73586	2784157
515	73608	2779421
516	73629	2774707
517	73646	2769840
518	73665	2765066
519	73679	2760152
520	73697	2755384
521	73708	2750390
522	73721	2745458
523	73735	2740582
524	73748	2735729
525	73761	2730846
526	73773	2725962
527	73786	2721153
528	73799	2716357
529	73812	2711565
530	73826	2706819
531	73838	2702039
532	73851	2697298
533	73863	2692558
534	73877	2687915
535	73893	2683324
536	73908	2678733
537	73927	2674292
538	73940	2669660
539	73953	2665068
540	73964	2660411
541	73976	2655783
542	73988	2651179
543	74001	2646651
544	74014	2642114
545	74029	2637663
546	74044	2633251
547	74057	2628775
548	74071	2624334
549	74083	2619875
550	74097	2615468
551	74111	2611077
552	74125	2606718
553	74139	2602377
554	74151	2597973
555	74164	2593614
556	74179	2589358
557	74193	2585069
558	74206	2580758
559	74218	2576457
560	74231	2572166
561	74243	2567879
562	74256	2563623
563	74268	2559372
564	74282	2555170
565	74293	2550915
566	74306	2546742
567	74319	2542560
568	74330	2538350
569	74342	2534181
570	74356	2530067
571	74368	2525916
572	74383	2521886
573	74397	2517865
574	74413	2513869
575	74428	2509902
576	74441	2505854
577	74456	2501897
578	74471	2497957
579	74486	2493999
580	76713	2564036
581	76729	2560026
582	76745	2556046
583	76762	2552082
584	76777	2548078
585	76790	2544048
586	76803	2540026
587	76815	2535971
588	76831	2532045
589	76844	2528048
590	76857	2524081
591	76871	2520129
592	76888	2516306
593	76904	2512468
594	76918	2508584
595	76933	2504734
596	76951	2500987
597	76965	2497140
598	76979	2493273
599	76993	2489460
600	77006	2485615
601	77020	2481793
602	77033	2477963
603	77047	2474201
604	77061	2470427
605	77074	2466636
606	77086	2462840
607	77100	2459091
608	77113	2455347
609	77128	2451681
610	77141	2447959
611	77155	2444252
612	77168	2440572
613	77182	2436912
614	77194	2433195
615	77207	2429538
616	77220	2425876
617	77233	2422237
618	77248	2418678
619	77263	2415101
620	77278	2411552
621	77291	2407951
622	77306	2404449
623	77326	2401078
624	77341	2397577
625	77354	2394044
626	77368	2390514
627	77382	2387015
628	77395	2383506
629	77410	2380068
630	77423	2376580
631	77437	2373112
632	77450	2369632
633	77463	2366166
634	77476	2362736
635	77488	2359271
636	77502	2355856
637	77517	2352504
638	77531	2349126
639	77546	2345794
640	77562	2342482
641	77577	2339170
642	77590	2335792
643	77602	2332416
644	77616	2329093
645	77630	2325804
646	77644	2322486
647	77659	2319252
648	77674	2316005
649	77687	2312709
650	77702	2309472
651	77717	2306254
652	77734	2303104
653	77748	2299869
654	77766	2296769
655	77780	2293585
656	77797	2290453
657	77811	2287287
658	77829	2284211
659	77845	2281096
660	79908	2337888
