pid,year,norm_source,n_obs,n_artifacts,mean_z,share_days_depressed,ph_valid,ph_peak,ph_peak_doy,ph_base,ph_amplitude,ph_sos_doy,ph_half_decline_doy,ph_integral,ph_covered_days,dev_peak_ratio,dev_peak_shift_days,dev_sos_shift_days,dev_integral_ratio,dev_decline_shift_days
AOI-0001,2010,история полигона,30,0,-0.5748362316302018,0.4647887323943662,True,0.7507731712461484,141,0.10509464247190889,0.6456785287742395,91,166.0,71.60459382317997,213,1.1763472434564517,-1,0,0.8931653438569649,-20.0
AOI-0001,2011,история полигона,32,3,0.7080150964156012,0.27699530516431925,True,0.7225339016396438,182,0.12857316536363012,0.5939607362760138,122,222.0,84.76792244161086,207,1.1186948822108538,39,31,1.070966310091921,42.0
AOI-0001,2012,история полигона,20,0,-0.38211717148096663,0.16901408450704225,True,0.7205356086922647,122,0.02191142416058888,0.6986241845316759,92,168.0,68.69870313790145,184,1.1198799597870075,-20,0,0.8598962967588544,-18.0
AOI-0001,2013,история полигона,20,1,0.9289144981690873,0.20657276995305165,True,0.7745876181042918,126,0.12118916138875512,0.6533984567155366,91,156.0,90.4875885428215,206,1.2069799632946718,-16,0,1.1452113639335026,-30.0
AOI-0001,2014,история полигона,26,2,0.29367295633260737,0.23943661971830985,True,0.8019129042217785,186,0.16907349294806817,0.6328394112737104,133,218.0,84.1130697037463,213,1.2040962511776214,46,42,1.0605590283220736,41.0
AOI-0001,2015,история полигона,27,0,-0.3825110653034187,0.3568075117370892,True,0.7269607125903882,136,0.11634136213013975,0.6106193504602484,91,179.0,75.61007822515548,213,1.1350912512513185,-6,0,0.9463220304100639,-4.0
AOI-0001,2016,история полигона,30,6,-0.2935502951974494,0.36619718309859156,True,0.46873750717193785,133,0.17802112962456001,0.29071637754737784,107,170.0,64.63388734397563,200,0.7102978475065779,-9,15,0.803023440202296,-14.0
AOI-0001,2017,история полигона,44,1,0.2549992981872239,0.0,True,0.7141698115463309,154,0.1643378522821824,0.5498319592641485,91,189.0,89.2278244645563,210,1.1113220993567638,12,0,1.1305826897640763,7.0
AOI-0001,2018,история полигона,45,1,-0.08323688809090041,0.20657276995305165,True,0.800543373056831,133,0.11500248823663466,0.6855408848201964,91,164.0,78.86390888676212,213,1.2582968975031503,-9,0,0.9899318239895405,-22.0
AOI-0001,2019,история полигона,50,5,-0.06989291701494475,0.11267605633802817,True,0.6489780949098101,145,0.17541597903767234,0.4735621158721377,111,174.0,74.45777495038334,213,1.0049915248045347,4,20,0.9311419155789364,-10.0
AOI-0001,2020,история полигона,49,2,0.18536889565759748,0.03286384976525822,True,0.7988180440731809,151,0.17362303700702866,0.6251950070661523,92,172.0,84.086939438926,213,1.258059598180232,9,0,1.0623297698941014,-18.0
AOI-0001,2021,история полигона,52,8,0.14876672040422448,0.23943661971830985,True,0.6378730164668404,194,0.1615683200252634,0.47630469644157697,109,227.0,78.72449402076359,213,0.9686933731969847,52,18,0.9880777166868674,47.0
AOI-0001,2022,история полигона,50,5,0.28544607868231386,0.0,True,2.0651435584791735,103,0.1577413798668162,1.9074021786123574,103,105.0,83.50963230483548,200,3.225056882454245,-38,12,1.057213967530546,-78.0
AOI-0001,2023,история полигона,50,2,0.1652173085813833,0.018779342723004695,True,0.8043065105445807,160,0.062388048955286816,0.7419184615892939,96,186.0,83.673453463761,213,1.262773165388258,18,5,1.0542893619309053,3.0
AOI-0001,2024,история полигона,41,1,-0.1804530507378109,0.13145539906103287,True,0.7580885797879492,145,0.142802076745208,0.6152865030427412,92,169.0,81.00330500053744,213,1.1886154948518173,3,0,1.020509078390376,-16.0
AOI-0001,2025,история полигона,49,0,-0.3571431243431101,0.22065727699530516,True,0.5797752168924905,179,0.07174199162071415,0.5080332252717763,91,214.0,69.4594355067485,210,0.8735922424915739,38,0,0.8653121731901803,35.0
AOI-0002,2010,история полигона,32,0,0.5363385927653084,0.27699530516431925,True,0.6819243005803682,191,0.2201990710259654,0.46172522955440287,127,245.0,93.24090488331274,213,0.9994155138673262,45,36,1.096697446283649,65.0
AOI-0002,2011,история полигона,38,2,0.019021800484895397,0.23943661971830985,True,0.5943613356310438,163,0.1459820842463164,0.44837925138472734,113,199.0,78.7555789819692,207,0.8686736765570598,17,22,0.9170680545920457,18.0
AOI-0002,2012,история полигона,26,0,-0.2210650624980348,0.028169014084507043,True,0.7116269246937278,145,0.12132600795127745,0.5903009167424503,98,183.0,79.82215004732399,207,1.0563515494683295,-2,6,0.9319805212591677,-3.0
AOI-0002,2013,история полигона,30,0,0.9810069667967783,0.06572769953051644,True,0.6770827499306605,168,0.24611403128537387,0.43096871864528663,91,216.0,101.21027525165576,213,0.9949798782472556,22,0,1.197985889321138,35.0
AOI-0002,2014,история полигона,37,1,-0.5623856780183608,0.568075117370892,True,0.77742493312171,138,0.1281624617697318,0.6492624713519782,91,169.0,75.80710619450656,213,1.1572834579130737,-9,0,0.8796161064532776,-16.0
AOI-0002,2015,история полигона,38,1,-0.35435457960014427,0.13615023474178403,True,0.7628072966876248,150,0.153893342890435,0.6089139537971898,91,175.0,78.14781234469027,213,1.1382472978853448,3,0,0.908366726230326,-9.0
AOI-0002,2016,история полигона,35,3,0.10955253925378991,0.028169014084507043,True,0.8033409440758685,136,-0.203050115903333,1.0063910599792014,92,193.0,87.36315770164089,209,1.202183834504875,-11,0,1.025207098084775,5.0
AOI-0002,2017,история полигона,48,0,0.22752471933741095,0.004694835680751174,True,0.7289294981551835,160,0.22530097908849256,0.5036285190666909,108,199.0,88.72637340842324,210,1.0782603589637954,14,17,1.0406273750672108,18.0
AOI-0002,2018,история полигона,50,1,-0.37293264481075433,0.0,True,0.6067275622574748,145,0.17288869905129012,0.4338388632061847,91,181.0,77.64663403926947,213,0.8914240901546931,-2,0,0.9023884415197208,-3.0
AOI-0002,2019,история полигона,61,1,0.04664238197610748,0.2300469483568075,True,0.8579087047468155,134,0.18383560844568883,0.6740730963011267,91,162.0,86.9673842942941,213,1.2836074677014655,-13,0,1.0179380263621964,-24.0
AOI-0002,2020,история полигона,65,1,-0.13296266742410592,0.3615023474178404,True,0.6160035632716478,164,0.14237185344998643,0.4736317098216614,94,242.0,82.96164331234607,213,0.8947402621070082,18,2,0.9697233265559002,60.0
AOI-0002,2021,история полигона,57,5,-0.33853363310987866,0.23943661971830985,True,0.8015181206788274,147,0.16373259421868142,0.637785526460146,91,181.0,76.6869487867582,213,1.2008421893950083,0,0,0.8904003350725883,-2.0
AOI-0002,2022,история полигона,59,1,0.0011174378067590424,0.107981220657277,True,0.8275126948458572,150,0.20301938385675727,0.6244933109891,97,174.0,84.37512532027324,213,1.2423540942252356,4,6,0.9856108832025201,-12.0
AOI-0002,2023,история полигона,59,3,0.5359085907988682,0.14084507042253522,True,0.7565111797382771,172,0.11554610617380173,0.6409650735644754,92,232.0,97.40836884030762,212,1.1082046696336294,26,1,1.1497024148265444,53.0
AOI-0002,2024,история полигона,59,0,0.03473933955537663,0.14084507042253522,True,0.6448018197737312,146,0.1625155934090415,0.48228622636468965,92,174.0,87.85381272089715,213,0.9511056415060934,-1,0,1.0309867343536967,-13.0
AOI-0002,2025,история полигона,49,1,-0.1200447839907739,0.352112676056338,True,0.7994460950603065,118,0.17191665314233182,0.6275294419179747,91,157.0,84.89680041491121,210,1.1813779769443835,-30,0,0.993181755750792,-27.0
AOI-0003,2010,история полигона,34,1,-0.41052571878169103,0.17370892018779344,True,0.7458012891975365,145,-0.14551138081187023,0.8913126700094067,101,186.0,69.47864212387348,207,1.1755431909837133,-2,10,0.8661220838320094,9.0
AOI-0003,2011,история полигона,38,1,-0.036335375630185206,0.0,True,0.7188812152424824,149,0.16748692660939932,0.551394288633083,94,174.0,74.38819887563221,213,1.1295564668814426,4,3,0.9295702625668706,-3.0
AOI-0003,2012,история полигона,31,2,0.07662129618591221,0.215962441314554,True,0.703678684870866,177,0.1751383217670452,0.5285403631038208,105,214.0,74.3409727140173,195,1.0670467043864167,33,13,0.9364081238591269,38.0
AOI-0003,2013,история полигона,34,0,-0.021263491499781167,0.09859154929577464,True,0.7708826928070269,129,0.1826043509219785,0.5882783418850485,91,159.0,79.27486006591089,213,1.2034744610559056,-20,0,0.9951037346316122,-19.0
AOI-0003,2014,история полигона,47,2,-0.2971435736773592,0.07511737089201878,True,0.8109823530256904,130,0.1454452767704268,0.6655370762552637,91,162.0,77.41131750906142,213,1.272243322861533,-19,0,0.9700752680534522,-16.0
AOI-0003,2015,история полигона,45,2,0.0488161700813318,0.38967136150234744,True,0.733397812329142,197,0.14346080529808952,0.5899370070310526,111,222.0,81.1735507688314,213,1.114263638401434,53,20,1.0200114426245188,48.0
