pid,year,shape_score,shape_flag,shape_direction,shape_reasons,has_episode
AOI-0001,2010,0.4213969414079014,False,слабее нормы,дней ниже нормы 47%; средний Z -0.6; амплитуда 0.64,True
AOI-0001,2011,0.4544934831683111,False,сильнее нормы,старт роста сдвинут на +35 дн.; пик сдвинут на +39 дн.; спад сдвинут на +43 дн.,True
AOI-0001,2012,0.383446555644542,False,слабее нормы,пик сдвинут на -20 дн.; суммарная вегетация 86% нормы; средний Z -0.4,False
AOI-0001,2013,0.42142629271503684,False,сильнее нормы,средний Z +0.9; спад сдвинут на -31 дн.; суммарная вегетация 114% нормы,True
AOI-0001,2014,0.4610858444255279,False,сильнее нормы,старт роста сдвинут на +43 дн.; пик сдвинут на +46 дн.; спад сдвинут на +42 дн.,True
AOI-0001,2015,0.396724409252477,False,слабее нормы,дней ниже нормы 37%; средний Z -0.4; амплитуда 0.61,True
AOI-0001,2016,0.46611486032835286,False,слабее нормы,пик 71% нормы; дней ниже нормы 37%; амплитуда 0.25,True
AOI-0001,2017,0.38345817456698605,False,сильнее нормы,дней ниже нормы 0%; суммарная вегетация 113% нормы; пик сдвинут на +12 дн.,False
AOI-0001,2018,0.38560219575474985,False,слабее нормы,амплитуда 0.66; дней ниже нормы 23%; спад сдвинут на -21 дн.,False
AOI-0001,2019,0.40010636622183154,False,слабее нормы,старт роста сдвинут на +23 дн.; пик 100% нормы; суммарная вегетация 93% нормы,False
AOI-0001,2020,0.3765423323568698,False,сильнее нормы,амплитуда 0.62; дней ниже нормы 2%; пик сдвинут на +9 дн.,False
AOI-0001,2021,0.45200731091078766,False,слабее нормы,пик сдвинут на +52 дн.; спад сдвинут на +47 дн.; старт роста сдвинут на +21 дн.,True
AOI-0001,2022,0.37882990292081953,False,сильнее нормы,старт роста сдвинут на +12 дн.; дней ниже нормы 0%; средний Z +0.2,False
AOI-0001,2023,0.3890182144184138,False,сильнее нормы,пик сдвинут на +19 дн.; дней ниже нормы 0%; амплитуда 0.61,False
AOI-0001,2024,0.3763723092585501,False,слабее нормы,амплитуда 0.61; спад сдвинут на -16 дн.; средний Z -0.2,True
AOI-0001,2025,0.4335341103426878,False,слабее нормы,пик сдвинут на +38 дн.; спад сдвинут на +28 дн.; пик 87% нормы,True
AOI-0002,2010,0.4908927576645341,False,сильнее нормы,спад сдвинут на +66 дн.; старт роста сдвинут на +37 дн.; пик сдвинут на +46 дн.,True
AOI-0002,2011,0.4252390330696405,False,слабее нормы,старт роста сдвинут на +24 дн.; пик 87% нормы; пик сдвинут на +17 дн.,True
AOI-0002,2012,0.3821316821279908,False,слабее нормы,старт роста сдвинут на +9 дн.; дней ниже нормы 3%; средний Z -0.2,False
AOI-0002,2013,0.4443337638902812,False,сильнее нормы,средний Z +1.0; спад сдвинут на +34 дн.; суммарная вегетация 120% нормы,False
AOI-0002,2014,0.44137416037860094,False,слабее нормы,дней ниже нормы 57%; средний Z -0.6; амплитуда 0.64,True
AOI-0002,2015,0.3798806770087146,False,слабее нормы,средний Z -0.4; амплитуда 0.61; суммарная вегетация 91% нормы,False
AOI-0002,2016,0.3688476501746995,False,сильнее нормы,дней ниже нормы 0%; амплитуда 0.60; пик сдвинут на -11 дн.,False
AOI-0002,2017,0.40116310087489127,False,сильнее нормы,старт роста сдвинут на +19 дн.; спад сдвинут на +17 дн.; пик сдвинут на +16 дн.,False
AOI-0002,2018,0.39314304778786113,False,слабее нормы,пик 89% нормы; дней ниже нормы 0%; средний Z -0.4,False
AOI-0002,2019,0.3891571906894209,False,сильнее нормы,амплитуда 0.67; дней ниже нормы 23%; спад сдвинут на -22 дн.,True
AOI-0002,2020,0.47101883955628554,False,слабее нормы,спад сдвинут на +62 дн.; дней ниже нормы 40%; пик 89% нормы,True
AOI-0002,2021,0.4097713043936677,False,слабее нормы,старт роста сдвинут на +21 дн.; дней ниже нормы 25%; амплитуда 0.63,True
AOI-0002,2022,0.37334071406349495,False,слабее нормы,амплитуда 0.62; пик 124% нормы; пик сдвинут на +4 дн.,False
AOI-0002,2023,0.4431952718746737,False,сильнее нормы,спад сдвинут на +51 дн.; пик сдвинут на +28 дн.; средний Z +0.5,True
AOI-0002,2024,0.3801856189919122,False,сильнее нормы,пик 95% нормы; дней ниже нормы 16%; суммарная вегетация 103% нормы,False
AOI-0002,2025,0.40811463615409477,False,слабее нормы,дней ниже нормы 35%; пик сдвинут на -30 дн.; спад сдвинут на -25 дн.,True
AOI-0003,2010,0.38080285729385555,False,слабее нормы,амплитуда 0.61; средний Z -0.3; суммарная вегетация 89% нормы,False
AOI-0003,2011,0.37586314351830336,False,слабее нормы,дней ниже нормы 0%; суммарная вегетация 93% нормы; амплитуда 0.54,False
AOI-0003,2012,0.44061236937183434,False,слабее нормы,старт роста сдвинут на +42 дн.; спад сдвинут на +39 дн.; пик сдвинут на +31 дн.,True
AOI-0003,2013,0.3738645123036299,False,слабее нормы,пик сдвинут на -20 дн.; спад сдвинут на -20 дн.; амплитуда 0.59,False
AOI-0003,2014,0.38306702306322077,False,слабее нормы,амплитуда 0.66; пик сдвинут на -19 дн.; средний Z -0.3,False
AOI-0003,2015,0.47144906251994295,False,сильнее нормы,пик сдвинут на +51 дн.; спад сдвинут на +48 дн.; дней ниже нормы 40%,True
AOI-0003,2016,0.376344177659335,False,слабее нормы,амплитуда 0.62; дней ниже нормы 3%; средний Z -0.2,False
AOI-0003,2017,0.512242528803181,False,сильнее нормы,старт роста сдвинут на +52 дн.; спад сдвинут на +55 дн.; средний Z +0.9,True
AOI-0003,2018,0.3794430764650499,False,слабее нормы,пик сдвинут на -22 дн.; амплитуда 0.59; спад сдвинут на -17 дн.,False
AOI-0003,2019,0.44442567010752415,False,сильнее нормы,средний Z +1.2; суммарная вегетация 132% нормы; амплитуда 0.69,False
AOI-0003,2020,0.48082978405285876,False,слабее нормы,старт роста сдвинут на +29 дн.; дней ниже нормы 42%; средний Z -0.8,True
AOI-0003,2021,0.386828423677487,False,слабее нормы,старт роста сдвинут на +17 дн.; амплитуда 0.61; дней ниже нормы 6%,False
AOI-0003,2022,0.4430799357785073,False,слабее нормы,пик 79% нормы; амплитуда 0.29; пик сдвинут на -28 дн.,True
AOI-0003,2023,0.38564414450343937,False,сильнее нормы,суммарная вегетация 118% нормы; амплитуда 0.65; дней ниже нормы 0%,False
AOI-0003,2024,0.401201896973747,False,слабее нормы,средний Z -0.6; суммарная вегетация 81% нормы; спад сдвинут на -16 дн.,True
AOI-0003,2025,0.3885544145307242,False,сильнее нормы,пик сдвинут на -24 дн.; амплитуда 0.66; дней ниже нормы 0%,False
AOI-0004,2010,0.5920698794000409,True,слабее нормы,пик сдвинут на +82 дн.; спад сдвинут на +61 дн.; дней ниже нормы 50%,True
AOI-0004,2011,0.5241106320947108,False,слабее нормы,средний Z -1.5; дней ниже нормы 52%; старт роста сдвинут на +31 дн.,True
AOI-0004,2012,0.40397880449508244,False,слабее нормы,спад сдвинут на -27 дн.; амплитуда 0.36; средний Z -0.4,True
AOI-0004,2013,0.4787427275535464,False,слабее нормы,спад сдвинут на +60 дн.; пик сдвинут на +49 дн.; амплитуда 0.33,True
AOI-0004,2014,0.4397579962231317,False,слабее нормы,дней ниже нормы 45%; средний Z -0.6; старт роста сдвинут на -12 дн.,True
AOI-0004,2015,0.3911575220378378,False,слабее нормы,спад сдвинут на +23 дн.; дней ниже нормы 20%; средний Z -0.2,True
AOI-0004,2016,0.390710351201066,False,сильнее нормы,средний Z +0.5; суммарная вегетация 109% нормы; старт роста сдвинут на -6 дн.,False
AOI-0004,2017,0.39196078984897403,False,сильнее нормы,средний Z +0.6; дней ниже нормы 2%; старт роста сдвинут на +9 дн.,False
AOI-0004,2018,0.40339182482182845,False,слабее нормы,средний Z -0.5; пик 93% нормы; амплитуда 0.37,True
AOI-0004,2019,0.39160510318981984,False,сильнее нормы,спад сдвинут на -27 дн.; средний Z +0.4; амплитуда 0.39,False
AOI-0004,2020,0.38462734233452467,False,слабее нормы,спад сдвинут на +15 дн.; старт роста сдвинут на +9 дн.; пик сдвинут на +9 дн.,False
AOI-0004,2021,0.37400009836928994,False,сильнее нормы,средний Z +0.3; старт роста сдвинут на +6 дн.; дней ниже нормы 6%,False
AOI-0004,2022,0.39166564878475335,False,сильнее нормы,средний Z +0.8; дней ниже нормы 0%; суммарная вегетация 109% нормы,False
AOI-0004,2023,0.44033722922398416,False,сильнее нормы,средний Z +1.3; спад сдвинут на +27 дн.; суммарная вегетация 115% нормы,False
AOI-0004,2024,0.393646102499311,False,слабее нормы,амплитуда 0.33; пик 93% нормы; дней ниже нормы 0%,False
AOI-0004,2025,0.41289936063619,False,слабее нормы,амплитуда 0.33; пик 93% нормы; старт роста сдвинут на -11 дн.,True
AOI-0005,2010,0.5866059772860369,True,слабее нормы,дней ниже нормы 94%; средний Z -2.2; суммарная вегетация 62% нормы,True
AOI-0005,2011,0.39162307983686995,False,слабее нормы,старт роста сдвинут на +20 дн.; спад сдвинут на -17 дн.; амплитуда 0.47,True
AOI-0005,2012,0.46508298385383784,False,слабее нормы,дней ниже нормы 48%; средний Z -1.2; суммарная вегетация 79% нормы,True
AOI-0005,2013,0.4378881768887446,False,слабее нормы,дней ниже нормы 33%; спад сдвинут на -33 дн.; старт роста сдвинут на -13 дн.,True
AOI-0005,2014,0.4300266006992831,False,слабее нормы,спад сдвинут на +25 дн.; старт роста сдвинут на -12 дн.; дней ниже нормы 25%,True
