anon_polygon_id,year,start,end,duration_days,n_points,min_z,mean_z,ndvi_deficit,severity,kind,confidence,drivers,explanation,sensors
AOI-0002,2010,2010-04-24,2010-05-09,16,4,-2.12,-1.63,0.304,критическая,стресс,0.7,[],"24 апреля – 9 мая 2010, 16 дней, 4 наблюдения. NDVI ниже нормы в среднем на 1.6σ (минимум -2.1σ), это 0.30 по шкале NDVI. Осадки за 60 дней до эпизода: 33 мм при норме 34 мм (95 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0002,2011,2011-04-02,2011-04-19,18,4,-1.58,-1.41,0.258,угнетение,стресс,0.71,[],"2 апреля – 19 апреля 2011, 18 дней, 4 наблюдения. NDVI ниже нормы в среднем на 1.4σ (минимум -1.6σ), это 0.26 по шкале NDVI. Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0002,2014,2014-07-24,2014-09-17,56,11,-1.41,-1.19,0.173,угнетение,уборка,0.9,[],"24 июля – 17 сентября 2014, 56 дней, 11 наблюдений. NDVI ниже нормы в среднем на 1.2σ (минимум -1.4σ), это 0.17 по шкале NDVI. Осадки за 60 дней до эпизода: 122 мм при норме 89 мм (136 % нормы). Дней жарче 30 °C за предшествующий месяц: 1 при норме 0. Подтверждено несколькими сенсорами: Landsat, MODIS. Эпизод начинается заметно позже пика сезона у зерновой культуры — скорее всего это уборка, а не угнетение посева.","['landsat', 'modis']"
AOI-0002,2019,2019-06-11,2019-07-22,42,13,-2.21,-1.54,0.26,критическая,стресс,0.9,[],"11 июня – 22 июля 2019, 42 дня, 13 наблюдений. NDVI ниже нормы в среднем на 1.5σ (минимум -2.2σ), это 0.26 по шкале NDVI. Осадки за 60 дней до эпизода: 93 мм при норме 110 мм (85 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis', 's2']"
AOI-0002,2020,2020-05-12,2020-05-20,9,3,-1.96,-1.81,0.3,угнетение,стресс,0.64,[],"12 мая – 20 мая 2020, 9 дней, 3 наблюдения. NDVI ниже нормы в среднем на 1.8σ (минимум -2.0σ), это 0.30 по шкале NDVI. Осадки за 60 дней до эпизода: 46 мм при норме 68 мм (68 % нормы). Подтверждено несколькими сенсорами: Landsat, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 's2']"
AOI-0002,2021,2021-04-15,2021-04-22,8,3,-2.89,-1.9,0.364,критическая,стресс,0.73,['избыток осадков'],"15 апреля – 22 апреля 2021, 8 дней, 3 наблюдения. NDVI ниже нормы в среднем на 1.9σ (минимум -2.9σ), это 0.36 по шкале NDVI. Осадки за 60 дней до эпизода: 60 мм при норме 20 мм (303 % нормы). Подтверждено несколькими сенсорами: Landsat, Sentinel-2. Вероятная причина: переувлажнение — вымокание посева или сорванные полевые работы.","['landsat', 's2']"
AOI-0002,2021,2021-07-18,2021-07-24,7,3,-1.19,-1.12,0.204,угнетение,уборка,0.63,[],"18 июля – 24 июля 2021, 7 дней, 3 наблюдения. NDVI ниже нормы в среднем на 1.1σ (минимум -1.2σ), это 0.20 по шкале NDVI. Осадки за 60 дней до эпизода: 125 мм при норме 95 мм (132 % нормы). Дней жарче 30 °C за предшествующий месяц: 1 при норме 0. Подтверждено несколькими сенсорами: Landsat, Sentinel-2. Эпизод начинается заметно позже пика сезона у зерновой культуры — скорее всего это уборка, а не угнетение посева.","['landsat', 's2']"
AOI-0002,2022,2022-07-04,2022-07-24,21,8,-1.51,-1.16,0.206,угнетение,уборка,0.95,['дефицит осадков'],"4 июля – 24 июля 2022, 21 день, 8 наблюдений. NDVI ниже нормы в среднем на 1.2σ (минимум -1.5σ), это 0.21 по шкале NDVI. Осадки за 60 дней до эпизода: 52 мм при норме 123 мм (42 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Эпизод начинается заметно позже пика сезона у зерновой культуры — скорее всего это уборка, а не угнетение посева.","['landsat', 'modis', 's2']"
AOI-0002,2023,2023-05-13,2023-05-20,8,4,-1.67,-1.42,0.244,угнетение,стресс,0.77,['избыток осадков'],"13 мая – 20 мая 2023, 8 дней, 4 наблюдения. NDVI ниже нормы в среднем на 1.4σ (минимум -1.7σ), это 0.24 по шкале NDVI. Осадки за 60 дней до эпизода: 141 мм при норме 66 мм (214 % нормы). Подтверждено несколькими сенсорами: Landsat, Sentinel-2. Вероятная причина: переувлажнение — вымокание посева или сорванные полевые работы.","['landsat', 's2']"
AOI-0002,2024,2024-06-08,2024-06-13,6,3,-1.76,-1.45,0.207,угнетение,стресс,0.72,['дефицит осадков'],"8 июня – 13 июня 2024, 6 дней, 3 наблюдения. NDVI ниже нормы в среднем на 1.5σ (минимум -1.8σ), это 0.21 по шкале NDVI. Осадки за 60 дней до эпизода: 27 мм при норме 105 мм (26 % нормы). Подтверждено несколькими сенсорами: MODIS, Sentinel-2. Вероятная причина: дефицит влаги.","['modis', 's2']"
AOI-0003,2010,2010-08-29,2010-09-07,10,4,-1.19,-1.12,0.106,угнетение,стресс,0.62,"['дефицит осадков', 'аномальная жара']","29 августа – 7 сентября 2010, 10 дней, 4 наблюдения. NDVI ниже нормы в среднем на 1.1σ (минимум -1.2σ), это 0.11 по шкале NDVI. Осадки за 60 дней до эпизода: 29 мм при норме 57 мм (51 % нормы). Дней жарче 30 °C за предшествующий месяц: 17 при норме 2. Все наблюдения эпизода с одного сенсора (Landsat). Вероятная причина: почвенная засуха на фоне аномальной жары.",['landsat']
